track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,release_date,in_playlist
40uMIn2zJLAQhNXghRjBed,Motley Crew,['Post Malone'],67,Motley Crew,,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,audio_features,,,,184213,4,2021,1
4fMjqKYYsvtT6Fvca8lGFl,Sua Mãe Vai Me Amar,['Turma do Pagode'],67,Sua Mãe Vai Me Amar,spotify:track:4fMjqKYYsvtT6Fvca8lGFl,0.571,0.816,8,-6.011,0,0.0374,0.4,0.0,0.808,0.942,163.941,audio_features,4fMjqKYYsvtT6Fvca8lGFl,https://api.spotify.com/v1/tracks/4fMjqKYYsvtT6Fvca8lGFl,https://api.spotify.com/v1/audio-analysis/4fMjqKYYsvtT6Fvca8lGFl,183759,4,2018,0
2EXz6nnUThoFjK7ccwBV48,Best One Yet,['Elior'],3,Best One Yet,,0.697,0.582,3,-7.691,0,0.0873,0.302,0.0,0.37,0.664,79.523,audio_features,,,,143600,4,2024,1
0qzuXwxORXTwSsBU2aJGj5,"Yaar Naa Miley (From ""Kick"")","['Yo Yo Honey Singh', 'Jasmine Sandlas']",65,Yo Yo Honey Singh Is Back,spotify:track:0qzuXwxORXTwSsBU2aJGj5,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,audio_features,0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/tracks/0qzuXwxORXTwSsBU2aJGj5,https://api.spotify.com/v1/audio-analysis/0qzuXwxORXTwSsBU2aJGj5,243206,4,2018,0
6CnWfIkhMgZg7a1JDtRPwJ,Eu Mereci - Ao Vivo,['João Bosco & Vinicius'],57,"JB&V 21 In Concert, Vol. 5 (Ao Vivo)",spotify:track:6CnWfIkhMgZg7a1JDtRPwJ,0.657,0.814,10,-4.72,0,0.043,0.0101,0.0,0.881,0.485,107.951,audio_features,6CnWfIkhMgZg7a1JDtRPwJ,https://api.spotify.com/v1/tracks/6CnWfIkhMgZg7a1JDtRPwJ,https://api.spotify.com/v1/audio-analysis/6CnWfIkhMgZg7a1JDtRPwJ,176546,4,2024,0
5zqObw7wjBgL9TDiAymxPn,Our Song,"['Anne-Marie', 'Niall Horan']",57,Our Song,,0.595,0.759,11,-4.245,0,0.0423,0.141,0.0,0.172,0.515,80.953,audio_features,,,,163733,4,2021,1
7kgJjzN5Q1Jk55a7APwl7y,Red Rum,"['Sect Unit', 'Witchouse 40k']",49,Red Rum,spotify:track:7kgJjzN5Q1Jk55a7APwl7y,0.723,0.52,1,-13.457,0,0.226,0.296,0.285,0.131,0.0779,160.435,audio_features,7kgJjzN5Q1Jk55a7APwl7y,https://api.spotify.com/v1/tracks/7kgJjzN5Q1Jk55a7APwl7y,https://api.spotify.com/v1/audio-analysis/7kgJjzN5Q1Jk55a7APwl7y,106906,4,2020,0
1gaANVJksQ1oBGCRRtjRgi,Someday,['Brooke Taylor'],24,Someday,,0.555,0.543,7,-7.141,1,0.0358,0.442,0.0,0.369,0.371,99.901,audio_features,,,,200100,4,2024,1
66Fr7RmQhH4F7PPaeYZjSv,What's Up? - Gabriel Mounsey Remix,"['4 Non Blondes', 'Gabriel Mounsey']",30,What's Up? (Gabriel Mounsey Remix),spotify:track:66Fr7RmQhH4F7PPaeYZjSv,0.44,0.294,9,-23.572,1,0.0557,0.000121,0.828,0.106,0.168,128.039,audio_features,66Fr7RmQhH4F7PPaeYZjSv,https://api.spotify.com/v1/tracks/66Fr7RmQhH4F7PPaeYZjSv,https://api.spotify.com/v1/audio-analysis/66Fr7RmQhH4F7PPaeYZjSv,111706,4,2019,0
3lFk7chcfSypqoZRzdaswz,To Be Alright,['AURORA'],51,What Happened To The Heart?,spotify:track:3lFk7chcfSypqoZRzdaswz,0.581,0.606,9,-8.335,1,0.0399,0.0347,0.00221,0.34,0.344,128.004,audio_features,3lFk7chcfSypqoZRzdaswz,https://api.spotify.com/v1/tracks/3lFk7chcfSypqoZRzdaswz,https://api.spotify.com/v1/audio-analysis/3lFk7chcfSypqoZRzdaswz,245640,4,2024,0
